Frame,Timestamp,VehicleID,Spectator_Location,Spectator_Rotation,Vehicle_Location,Vehicle_Rotation,Vehicle_Velocity,Vehicle_Control
2105,84.14262342080474,135,"(60.529998779296875,105.43541717529297,15.253811836242676)","(-44.99998092651367,-179.9998016357422,0.0)","(50.53000259399414,105.43539428710938,0.2537980079650879)","(0.0012772453483194113,-179.99981689453125,-0.005340575706213713)","Vector3D(x=-0.000010, y=-0.000019, z=-0.000330)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(1.5066936498442374e-07,),'hand_brake':False,'gear':0)"
2106,84.1926234215498,135,"(60.53000259399414,105.4354248046875,15.25379753112793)","(-44.99998092651367,-179.9998016357422,0.0)","(50.53000259399414,105.43540954589844,0.25378674268722534)","(0.0009357358794659376,-179.99981689453125,-0.004058837424963713)","Vector3D(x=-0.000008, y=-0.000015, z=-0.000258)","('throttle':(0.0,),'brake':(0.14499999582767487,),'steering':(2.060353807564752e-07,),'hand_brake':False,'gear':0)"
2107,84.24262342229486,135,"(60.53000259399414,105.43544006347656,15.253786087036133)","(-44.99998092651367,-179.9998016357422,0.0)","(50.53001022338867,105.43541717529297,0.2537781000137329)","(0.0006830188794992864,-179.99981689453125,-0.0030822751577943563)","Vector3D(x=-0.000006, y=-0.000011, z=-0.000192)","('throttle':(0.7425472736358643,),'brake':(0.0,),'steering':(0.00044160414836369455,),'hand_brake':False,'gear':0)"
2108,84.29262342303991,135,"(60.53001022338867,105.4354476928711,15.253777503967285)","(-44.99998092651367,-179.9998016357422,0.0)","(50.53001022338867,105.43541717529297,0.2537717819213867)","(0.0004917735932394862,-179.99981689453125,-0.002349853515625)","Vector3D(x=-0.000004, y=-0.000009, z=-0.000138)","('throttle':(0.4803493618965149,),'brake':(0.0,),'steering':(0.0007432690472342074,),'hand_brake':False,'gear':0)"
2109,84.34262342378497,135,"(60.53001022338867,105.4354476928711,15.253771781921387)","(-44.99998092651367,-179.9998016357422,0.0)","(50.53001022338867,105.4354248046875,0.2537672817707062)","(0.00035516981733962893,-179.99981689453125,-0.0018005369929596782)","Vector3D(x=-0.000003, y=-0.000006, z=-0.000098)","('throttle':(0.7564722895622253,),'brake':(0.0,),'steering':(0.0005056230002082884,),'hand_brake':False,'gear':0)"
2110,84.39262342453003,135,"(60.53001022338867,105.43545532226562,15.253767013549805)","(-44.99998092651367,-179.9998016357422,0.0)","(50.53001022338867,105.4354248046875,0.2537659704685211)","(0.0003073585103265941,-179.99981689453125,-0.0015563963679596782)","Vector3D(x=-0.000001, y=-0.000005, z=-0.000030)","('throttle':(0.4807411730289459,),'brake':(0.0,),'steering':(0.0003124968206975609,),'hand_brake':False,'gear':0)"
2111,84.44262342527509,135,"(60.53001022338867,105.43545532226562,15.253765106201172)","(-44.99998092651367,-179.9998016357422,0.0)","(50.53001022338867,105.4354248046875,0.2537645995616913)","(0.0002527169999666512,-179.99981689453125,-0.0012207030085846782)","Vector3D(x=-0.000002, y=-0.000004, z=-0.000041)","('throttle':(0.9168578386306763,),'brake':(0.0,),'steering':(0.00028093691798858345,),'hand_brake':False,'gear':0)"
2112,84.49262342602015,135,"(60.53001022338867,105.43545532226562,15.253764152526855)","(-44.99998092651367,-179.9998016357422,0.0)","(50.53001022338867,105.4354248046875,0.25376322865486145)","(0.00019807547505479306,-179.99981689453125,-0.0009460448054596782)","Vector3D(x=-0.000001, y=-0.000003, z=-0.000041)","('throttle':(0.6916595101356506,),'brake':(0.0,),'steering':(0.00028327497420832515,),'hand_brake':False,'gear':0)"
2113,84.5426234267652,135,"(60.53001022338867,105.43545532226562,15.253763198852539)","(-44.99998092651367,-179.9998016357422,0.0)","(50.53001022338867,105.4354248046875,0.2537617087364197)","(0.000150264153489843,-179.99981689453125,-0.000732421875)","Vector3D(x=-0.000001, y=-0.000003, z=-0.000037)","('throttle':(0.30939197540283203,),'brake':(0.0,),'steering':(0.0002876634825952351,),'hand_brake':False,'gear':0)"
2114,84.59262342751026,135,"(60.53001022338867,105.43545532226562,15.25376033782959)","(-44.99998092651367,-179.9998016357422,0.0)","(50.53001022338867,105.43544006347656,0.2537606358528137)","(0.00010928302071988583,-179.99981689453125,-0.00054931640625)","Vector3D(x=-0.000001, y=-0.000002, z=-0.000027)","('throttle':(0.44654932618141174,),'brake':(0.0,),'steering':(0.0002881907857954502,),'hand_brake':False,'gear':0)"
2115,84.64262342825532,135,"(60.53001022338867,105.43546295166016,15.253759384155273)","(-44.99998092651367,-179.9998016357422,0.0)","(50.53001022338867,105.43544006347656,0.2537606358528137)","(0.00010928302071988583,-179.99981689453125,-0.00054931640625)","Vector3D(x=-0.000001, y=-0.000001, z=-0.000021)","('throttle':(0.7497814297676086,),'brake':(0.0,),'steering':(0.0002879182284232229,),'hand_brake':False,'gear':0)"
2116,84.69262342900038,135,"(60.53001022338867,105.43546295166016,15.253759384155273)","(-44.99998092651367,-179.9998016357422,0.0)","(50.53001022338867,105.43544006347656,0.25375911593437195)","(6.147169915493578e-05,-179.99981689453125,-0.00030517575214616954)","Vector3D(x=-0.000001, y=-0.000001, z=-0.000017)","('throttle':(0.7324906587600708,),'brake':(0.0,),'steering':(0.00028790649957954884,),'hand_brake':False,'gear':0)"
2117,84.74262342974544,135,"(60.53001022338867,105.43546295166016,15.253759384155273)","(-44.99998092651367,-179.9998016357422,0.0)","(50.53001022338867,105.43544006347656,0.25375911593437195)","(6.147169915493578e-05,-179.99981689453125,-0.00030517575214616954)","Vector3D(x=-0.000000, y=-0.000001, z=-0.000011)","('throttle':(0.7240934371948242,),'brake':(0.0,),'steering':(0.00028794261743314564,),'hand_brake':False,'gear':0)"
2118,84.7926234304905,135,"(60.53001022338867,105.43546295166016,15.253759384155273)","(-44.99998092651367,-179.9998016357422,0.0)","(50.53001022338867,105.43544006347656,0.25375911593437195)","(6.147169915493578e-05,-179.99981689453125,-0.00030517575214616954)","Vector3D(x=-0.000000, y=-0.000001, z=-0.000001)","('throttle':(0.7064395546913147,),'brake':(0.0,),'steering':(0.000287947419565171,),'hand_brake':False,'gear':0)"
2119,84.84262343123555,135,"(60.53001022338867,105.43546295166016,15.253759384155273)","(-44.99998092651367,-179.9998016357422,0.0)","(50.53001022338867,105.43544006347656,0.25375911593437195)","(6.147169915493578e-05,-179.99981689453125,-0.00030517575214616954)","Vector3D(x=-0.000000, y=-0.000001, z=-0.000004)","('throttle':(0.6883728504180908,),'brake':(0.0,),'steering':(0.0002879448002204299,),'hand_brake':False,'gear':0)"
2120,84.89262343198061,135,"(60.53001022338867,105.43546295166016,15.253759384155273)","(-44.99998092651367,-179.9998016357422,0.0)","(50.518978118896484,105.43544006347656,0.2535678446292877)","(0.021938566118478775,179.99993896484375,-0.000152587890625)","Vector3D(x=-0.382980, y=-0.000106, z=-0.000004)","('throttle':(0.6793357133865356,),'brake':(0.0,),'steering':(0.0002879445964936167,),'hand_brake':False,'gear':0)"
2121,84.94262343272567,135,"(60.518978118896484,105.4354248046875,15.253567695617676)","(-44.99999237060547,179.99993896484375,0.0)","(50.48980712890625,105.43544006347656,0.2532821297645569)","(0.05482592433691025,-179.99989318847656,-0.00015258790517691523)","Vector3D(x=-0.701858, y=-0.000166, z=-0.000009)","('throttle':(0.659140944480896,),'brake':(0.0,),'steering':(0.00028654668130911887,),'hand_brake':False,'gear':1)"
2122,84.99262343347073,135,"(60.489803314208984,105.43545532226562,15.25328254699707)","(-44.99999237060547,-179.99989318847656,9.211869114733595e-12)","(50.44795227050781,105.43544006347656,0.25309085845947266)","(0.07681913673877716,-179.99964904785156,-0.00012207027612021193)","Vector3D(x=-0.899422, y=-0.000211, z=-0.000004)","('throttle':(0.7199802994728088,),'brake':(0.0,),'steering':(0.0002872600161936134,),'hand_brake':False,'gear':1)"
2123,85.04262343421578,135,"(60.44795227050781,105.43549346923828,15.253090858459473)","(-44.99999237060547,-179.9996337890625,1.842373822946719e-11)","(50.3997688293457,105.43545532226562,0.25303539633750916)","(0.08317121118307114,-179.99481201171875,-0.000244140625)","Vector3D(x=-1.008335, y=-0.000739, z=-0.000003)","('throttle':(0.5360068678855896,),'brake':(0.0,),'steering':(0.0003256272175349295,),'hand_brake':False,'gear':1)"
2124,85.09262343496084,135,"(60.3997688293457,105.43636322021484,15.253035545349121)","(-44.99999237060547,-179.99481201171875,0.0)","(50.346229553222656,105.43537139892578,0.2530519366264343)","(0.08124509453773499,179.99610900878906,-6.103515261202119e-05)","Vector3D(x=-1.109135, y=0.000155, z=-0.000004)","('throttle':(0.4593140482902527,),'brake':(0.0,),'steering':(0.00035421206848695874,),'hand_brake':False,'gear':1)"
2125,85.1426234357059,135,"(60.346229553222656,105.43468475341797,15.2530517578125)","(-44.99999237060547,179.99610900878906,0.0)","(50.28937530517578,105.43556213378906,0.25311774015426636)","(0.07365675270557404,-179.9824981689453,-3.0517576306010596e-05)","Vector3D(x=-1.159523, y=0.000010, z=-0.000002)","('throttle':(0.30144569277763367,),'brake':(0.0,),'steering':(0.00042438379023224115,),'hand_brake':False,'gear':1)"
2126,85.19262343645096,135,"(60.28937530517578,105.43861389160156,15.253117561340332)","(-44.99998092651367,-179.98248291015625,1.1791192466859002e-09)","(50.22967529296875,105.43569946289062,0.25319811701774597)","(0.06441550701856613,-179.96585083007812,-0.000396728515625)","Vector3D(x=-1.234734, y=-0.001089, z=-0.000001)","('throttle':(0.29119282960891724,),'brake':(0.0,),'steering':(0.000579289102461189,),'hand_brake':False,'gear':1)"
2127,85.24262343719602,135,"(60.22967529296875,105.44165802001953,15.25319766998291)","(-45.000003814697266,-179.96585083007812,0.0)","(50.16767501831055,105.43584442138672,0.25327834486961365)","(0.05518109351396561,-179.94546508789062,-0.0005493164644576609)","Vector3D(x=-1.241869, y=-0.000887, z=0.000003)","('throttle':(0.6216550469398499,),'brake':(0.0,),'steering':(0.0003016851842403412,),'hand_brake':False,'gear':1)"
2128,85.29262343794107,135,"(60.16767120361328,105.44535827636719,15.253278732299805)","(-45.000003814697266,-179.94546508789062,4.7164774308328106e-09)","(50.103607177734375,105.4359130859375,0.253346711397171)","(0.047278568148612976,-179.93344116210938,-0.0006103515042923391)","Vector3D(x=-1.322205, y=-0.001231, z=0.000001)","('throttle':(0.6608047485351562,),'brake':(0.0,),'steering':(0.00023241109738592058,),'hand_brake':False,'gear':1)"
2129,85.34262343868613,135,"(60.10359573364258,105.44752502441406,15.253345489501953)","(-44.99998092651367,-179.93344116210938,-2.3582384933718004e-09)","(50.03642654418945,105.43611145019531,0.2533886134624481)","(0.042476944625377655,-179.90623474121094,-0.0006408691988326609)","Vector3D(x=-1.358339, y=-0.001111, z=0.000001)","('throttle':(0.5451400279998779,),'brake':(0.0,),'steering':(-4.71467683382798e-05,),'hand_brake':False,'gear':1)"
2130,85.39262343943119,135,"(60.036415100097656,105.45247650146484,15.253388404846191)","(-44.99999237060547,-179.90625,0.0)","(49.96482467651367,105.43617248535156,0.25339454412460327)","(0.04180075600743294,-179.88929748535156,-0.0008239745511673391)","Vector3D(x=-1.476331, y=-0.002116, z=0.000002)","('throttle':(0.42892545461654663,),'brake':(0.0,),'steering':(-0.00014810930588282645,),'hand_brake':False,'gear':1)"
2131,85.44262344017625,135,"(59.96480178833008,105.45548248291016,15.253393173217773)","(-44.99999237060547,-179.88929748535156,0.0)","(49.89060974121094,105.43630981445312,0.253417044878006)","(0.03919162228703499,-179.86204528808594,-0.0008544921292923391)","Vector3D(x=-1.489868, y=-0.002276, z=0.000001)","('throttle':(0.3707202970981598,),'brake':(0.0,),'steering':(-0.0005947856116108596,),'hand_brake':False,'gear':1)"
2132,85.4926234409213,135,"(59.89057922363281,105.46038818359375,15.253416061401367)","(-44.99999237060547,-179.86204528808594,0.0)","(49.81386947631836,105.43630981445312,0.2534402906894684)","(0.03654151037335396,-179.8458709716797,-0.0008850097074173391)","Vector3D(x=-1.563335, y=-0.002925, z=0.000001)","('throttle':(0.42817604541778564,),'brake':(0.0,),'steering':(-0.0008507469319738448,),'hand_brake':False,'gear':1)"
2133,85.54262344166636,135,"(59.8138313293457,105.46321105957031,15.253439903259277)","(-44.99999237060547,-179.8458709716797,0.0)","(49.73558807373047,105.4364013671875,0.25347471237182617)","(0.032579999417066574,-179.81771850585938,-0.0008850098238326609)","Vector3D(x=-1.569728, y=-0.002990, z=0.000003)","('throttle':(0.5067704916000366,),'brake':(0.0,),'steering':(-0.0012059874134138227,),'hand_brake':False,'gear':1)"
2134,85.59262344241142,135,"(59.73553466796875,105.46820831298828,15.253475189208984)","(-44.9999885559082,-179.81771850585938,0.0)","(49.65515899658203,105.43643951416016,0.25349733233451843)","(0.029964039102196693,-179.79698181152344,-0.0007019041804596782)","Vector3D(x=-1.638187, y=-0.002827, z=0.000001)","('throttle':(0.59881591796875,),'brake':(0.0,),'steering':(-0.001761231105774641,),'hand_brake':False,'gear':1)"
2135,85.64262344315648,135,"(59.65509796142578,105.47187042236328,15.253497123718262)","(-44.99995803833008,-179.79698181152344,0.0)","(49.572479248046875,105.43657684326172,0.25351229310035706)","(0.02824966050684452,-179.7646484375,-0.0006103513878770173)","Vector3D(x=-1.664931, y=-0.003054, z=0.000001)","('throttle':(0.5819437503814697,),'brake':(0.0,),'steering':(-0.00228045298717916,),'hand_brake':False,'gear':1)"
2136,85.69262344390154,135,"(59.57239532470703,105.47765350341797,15.253511428833008)","(-44.99998092651367,-179.76463317871094,1.8865907946974403e-08)","(49.48653030395508,105.43659210205078,0.25350815057754517)","(0.02874826453626156,-179.74624633789062,-0.000518798828125)","Vector3D(x=-1.750558, y=-0.003314, z=0.000002)","('throttle':(0.3625170886516571,),'brake':(0.0,),'steering':(-0.0029968481976538897,),'hand_brake':False,'gear':1)"
2137,85.7426234446466,135,"(59.48643112182617,105.48087310791016,15.253507614135742)","(-45.000003814697266,-179.74624633789062,1.8865909723331242e-08)","(49.398738861083984,105.43667602539062,0.253520131111145)","(0.027334416285157204,-179.7176971435547,-0.000518798828125)","Vector3D(x=-1.757856, y=-0.003395, z=0.000001)","('throttle':(0.34911805391311646,),'brake':(0.0,),'steering':(-0.0034301786217838526,),'hand_brake':False,'gear':1)"
2138,85.79262344539165,135,"(59.398616790771484,105.48594665527344,15.253520011901855)","(-44.99999237060547,-179.7176971435547,0.0)","(49.3094367980957,105.43663787841797,0.25353872776031494)","(0.025196567177772522,-179.7024688720703,-0.0005187987699173391)","Vector3D(x=-1.804424, y=-0.003745, z=0.000002)","('throttle':(0.33333873748779297,),'brake':(0.0,),'steering':(-0.003798422170802951,),'hand_brake':False,'gear':1)"
2139,85.84262344613671,135,"(59.30929946899414,105.48856353759766,15.253538131713867)","(-44.99997329711914,-179.7024688720703,-1.8865906170617563e-08)","(49.21958541870117,105.43666076660156,0.2535709738731384)","(0.021487774327397346,-179.67752075195312,-0.000457763671875)","Vector3D(x=-1.795048, y=-0.003506, z=0.000002)","('throttle':(0.6824367642402649,),'brake':(0.0,),'steering':(-0.004415768198668957,),'hand_brake':False,'gear':1)"
2140,85.89262344688177,135,"(59.21942901611328,105.49293518066406,15.253570556640625)","(-44.9999885559082,-179.67752075195312,0.0)","(49.12770080566406,105.43657684326172,0.2535783052444458)","(0.02063400112092495,-179.6644744873047,-0.00039672854472883046)","Vector3D(x=-1.871005, y=-0.003927, z=0.000002)","('throttle':(0.7524316310882568,),'brake':(0.0,),'steering':(-0.004570795223116875,),'hand_brake':False,'gear':1)"
2141,85.94262344762683,135,"(59.12752914428711,105.49513244628906,15.25357723236084)","(-45.000003814697266,-179.6644744873047,0.0)","(49.03250503540039,105.43657684326172,0.2535597085952759)","(0.022785509005188942,-179.6416015625,-0.00027465817402116954)","Vector3D(x=-1.929265, y=-0.003906, z=0.000002)","('throttle':(0.7110930681228638,),'brake':(0.0,),'steering':(-0.005097691435366869,),'hand_brake':False,'gear':1)"
2142,85.99262344837189,135,"(59.03230667114258,105.49913024902344,15.253559112548828)","(-44.9999885559082,-179.6416015625,0.0)","(48.93258285522461,105.43645477294922,0.25351569056510925)","(0.027853509411215782,-179.6326904296875,-0.00018310546875)","Vector3D(x=-2.041025, y=-0.004405, z=0.000002)","('throttle':(0.4825616180896759,),'brake':(0.0,),'steering':(-0.00539375701919198,),'hand_brake':False,'gear':1)"
2143,86.04262344911695,135,"(58.932376861572266,105.50056457519531,15.253515243530273)","(-44.99999237060547,-179.6326904296875,3.7731815893948806e-08)","(48.82876968383789,105.4364013671875,0.2534828186035156)","(0.03163743391633034,-179.6158905029297,7.633202585566323e-06)","Vector3D(x=-2.101383, y=-0.003994, z=0.000002)","('throttle':(0.8138571381568909,),'brake':(0.0,),'steering':(-0.006078776437789202,),'hand_brake':False,'gear':1)"
2144,86.092623449862,135,"(58.82854461669922,105.50343322753906,15.2534818649292)","(-44.99999237060547,-179.6158905029297,0.0)","(48.72017288208008,105.43624114990234,0.2534441351890564)","(0.03609071671962738,-179.61314392089844,0.00016849029634613544)","Vector3D(x=-2.214724, y=-0.004218, z=-0.000000)","('throttle':(0.1991618275642395,),'brake':(0.0,),'steering':(-0.006364425644278526,),'hand_brake':False,'gear':1)"
